Country,Gender,Localized Name
LB,F,Amal
LB,M,Elie
LB,M,Mohammad
LB,M,Charbel
LB,M,Ali
LB,M,Hassan
LB,M,Hussein
LB,M,George
LB,M,Ahmad
LB,M,Christian
LB,M,Joe
LI,F,Emilia
LI,F,Frida
LI,F,Frieda
LI,F,Mia
LI,F,Emma
LI,F,Melina
LI,F,Sofia
LI,F,Sophia
LI,M,Elias
LI,M,Elyas
LI,M,Louis
LI,M,Luis
LI,M,Leo
LI,M,Noah
LI,M,Paul
LI,M,Leano
LI,M,Luca
LI,M,Mattia
LI,M,Nelio
LI,M,Raphael
LI,M,Rafael
LI,M,Valentin
LT,F,Sofija
LT,F,Emilija
LT,F,Amelija
LT,F,Gabija
LT,F,Patricija
LT,F,Elija
LT,F,Liepa
LT,M,Markas
LT,M,Benas
LT,M,Dominykas
LT,M,Herkus
LT,M,Lukas
LT,M,Jonas
LT,M,Matas
LT,M,Kajus
LT,M,Adomas
LU,F,Emma
LU,F,Lara
LU,F,Amy
LU,F,Sarah
LU,F,Charlotte
LU,F,Emily
LU,M,Gabriel
LU,M,Leo
LU,M,Luca
LU,M,Noah
LU,M,David
LU,M,Tom
LU,M,Ben
LV,F,Sofija
LV,F,Alise
LV,F,Marta
LV,F,Paula
LV,F,Anna
LV,F,Emma
LV,F,Elza
LV,M,Marks
LV,M,Roberts
LV,M,Gustavs
LV,M,Adrians
LV,M,Daniels
LV,M,Ralfs
LY,F,Aya
LY,F,Rania
LY,F,Sarah
LY,F,Reem
LY,F,Hoda
LY,F,Marwa
LY,F,Mona
LY,F,Fatima
LY,F,Eisha
LY,F,Nesreen
LY,M,Mohammed
LY,M,Ahmed
LY,M,Ali
LY,M,Hamza
LY,M,Ibrahim
LY,M,Mahmoud
LY,M,Abdallah
LY,M,Tareq
LY,M,Hassan
LY,M,Khaled
MA,F,Aya
MA,F,Yasmine
MA,F,Assia
MA,F,Maryam
MA,F,Nora
MA,F,Amira
MA,F,Amina
MA,M,Mohamed
MA,M,Amir
MA,M,Ibrahim
MA,M,Ayoub
MA,M,Youssef
MA,M,Wassim
MA,M,Ali
MA,M,Amine
MC,F,Emma
MC,F,Victoria
MC,F,Alice
MC,F,Stella
MC,M,Leonardo
MC,M,Gabriel
MC,M,Aaron
MC,M,Louis
MD,F,Sofia
MD,F,Amelia
MD,F,Victoria
MD,F,Daria
MD,F,Anastasia
MD,F,Maria
MD,F,Eva
MD,F,Alexandra
MD,F,Evelina
MD,F,Emma
MD,M,David
MD,M,Matei
MD,M,Maxim
MD,M,Daniel
MD,M,Bogdan
MD,M,Alexandru
MD,M,Damian
MD,M,Mark
MD,M,Artiom
MD,M,Ion
ME,F,Sofija
ME,F,Dunja
ME,F,Bogdana
ME,F,Teodora
ME,F,Sara
ME,F,Mila
ME,F,Ksenija
ME,F,Tara
ME,F,Anastasija
ME,M,Luka
ME,M,Lazar
ME,M,Vuk
ME,M,Bogdan
ME,M,Vasilije
ME,M,Petar
ME,M,Jakov
ME,M,Viktor
ME,M,Andrej
ME,M,Jovan
MK,F,Marija
MK,F,Elena
MK,F,Biljana
MK,F,Vesna
MK,F,Snezana
MK,F,Violeta
MK,F,Aleksandra
MK,F,Suzana
MK,F,Katerina
MK,F,Ivana
MK,M,Aleksandar
MK,M,Zoran
MK,M,Nikola
MK,M,Goran
MK,M,Dragan
MK,M,Dejan
MK,M,Petar
MK,M,Igor
MK,M,Ilija
MK,M,Stefan
ML,F,Fatoumata
ML,F,Mariam
ML,F,Aminata
ML,F,Hawa
ML,F,Awa
ML,F,Oumou
ML,F,Djeneba
ML,F,Bintou
ML,F,Fanta
ML,F,Kadiatou
ML,M,Mamadou
ML,M,Moussa
ML,M,Mahamadou
ML,M,Adama
ML,M,Bakary
ML,M,Abdoulaye
ML,M,Modibo
ML,M,Oumar
ML,M,Sekou
ML,M,Souleymane
MN,F,Odval
MN,F,Bolormaa
MN,F,Bayarmaa
MN,F,Oyunbileg
MN,F,Khongordzol
MN,M,Naranbaatar
MN,M,Chuluun
MT,F,Mia
MT,F,Emma
MT,F,Nina
MT,F,Giulia
MT,M,Luca
MT,M,Liam
MT,M,Noah
MT,M,Matteo
MX,F,Valentina
MX,F,Regina
MX,F,Ximena
MX,F,Camila
MX,F,Valeria
MX,F,Victoria
MX,F,Renata
MX,M,Santiago
MX,M,Mateo
MX,M,Leordo
MX,M,Emiliano
MX,M,Diego
MX,M,Daniel
MX,M,Alexander
MY,F,Nur
MY,F,Wan
MY,F,Nurul
MY,F,Aisyah
MY,F,Maryam
MY,F,Siti
MY,F,Dhia
MY,F,Naura
MY,F,Ayra
MY,F,Puteri
MY,M,Muhamad
MY,M,Ahmad
MY,M,Adam
MY,M,Amar
MY,M,Wan
MY,M,Iman
MY,M,Harraz
MY,M,Izz
MY,M,Umar
MY,M,Aariz
NL,F,Emma
NL,F,Julia
NL,F,Mila
NL,F,Sophie
NL,F,Olivia
NL,F,Yara
NL,F,Saar
NL,F,Nora
NL,F,Tess
NL,F,Noor
NL,M,Noah
NL,M,Liam
NL,M,Luca
NL,M,Lucas
NL,M,Mees
NL,M,Finn
NL,M,James
NL,M,Milan
NL,M,Levi
NL,M,Sem
NO,F,Nora
NO,F,Emma
NO,F,Olivia
NO,F,Ella
NO,F,Sofie
NO,F,Leah
NO,F,Frida
NO,F,Iben
NO,F,Sofia
NO,F,Sara
NO,M,Jakob
NO,M,Noah
NO,M,Emil
